x	y
25	25
25	26
25	25
25	26
24	26
24	25
25	25
26	25
25	25
24	25
24	24
24	25
23	25
23	24
23	23
24	23
24	24
24	25
25	25
25	26
25	27
24	27
25	27
25	28
25	29
25	30
26	30
26	29
26	28
26	27
26	26
26	27
26	26
27	26
28	26
28	27
28	26
27	26
26	26
26	25
27	25
26	25
26	24
25	24
24	24
24	23
24	24
25	24
25	25
24	25
24	26
23	26
22	26
21	26
20	26
20	25
21	25
22	25
23	25
22	25
22	26
23	26
23	27
23	26
23	27
23	28
22	28
23	28
24	28
24	27
24	26
23	26
23	25
24	25
24	26
24	25
25	25
26	25
25	25
25	24
25	25
25	24
26	24
26	23
26	22
26	21
27	21
27	22
27	23
28	23
27	23
27	22
26	22
25	22
26	22
26	23
26	22
27	22
27	23
27	22
27	21
27	22
26	22
26	23
25	23
25	22
26	22
27	22
27	23
26	23
26	22
26	23
25	23
24	23
24	22
24	23
24	24
23	24
24	24
24	25
24	24
24	23
25	23
26	23
26	22
26	21
25	21
25	20
26	20
26	21
27	21
26	21
26	22
26	21
26	20
27	20
27	21
26	21
25	21
25	20
26	20
27	20
28	20
27	20
28	20
29	20
30	20
29	20
30	20
30	19
30	18
30	19
29	19
28	19
29	19
29	18
28	18
28	19
27	19
27	18
27	19
27	18
27	19
26	19
26	18
26	17
26	18
25	18
25	19
25	20
25	19
26	19
25	19
26	19
27	19
27	20
27	19
26	19
26	18
26	17
26	16
27	16
27	17
27	18
27	19
26	19
25	19
25	20
25	21
25	20
25	21
25	22
26	22
25	22
25	21
25	20
25	21
26	21
26	22
26	21
27	21
28	21
28	22
28	21
28	20
28	19
28	20
28	19
27	19
27	18
26	18
26	19
27	19
27	20
26	20
27	20
26	20
26	21
26	20
26	21
27	21
26	21
26	22
25	22
26	22
26	23
25	23
26	23
26	24
26	23
26	22
27	22
28	22
28	21
28	20
27	20
26	20
26	19
26	18
26	17
27	17
27	18
27	17
27	16
26	16
26	17
26	18
26	17
26	16
26	15
27	15
28	15
28	16
28	15
28	14
28	13
28	12
27	12
27	13
27	12
26	12
25	12
25	11
25	10
25	11
25	10
24	10
25	10
25	9
26	9
26	10
26	11
25	11
24	11
24	10
24	11
25	11
25	12
25	13
25	12
24	12
24	11
25	11
26	11
27	11
28	11
28	10
28	11
29	11
29	10
30	10
29	10
28	10
27	10
27	9
28	9
27	9
27	10
27	11
26	11
26	10
26	9
25	9
25	10
24	10
24	9
25	9
25	10
25	9
25	10
26	10
25	10
25	9
25	8
25	9
26	9
27	9
28	9
27	9
27	8
28	8
28	7
28	6
28	5
29	5
29	6
29	5
29	6
29	5
28	5
29	5
29	4
30	4
31	4
30	4
30	3
31	3
30	3
30	2
30	3
31	3
31	4
31	3
30	3
30	2
30	3
31	3
31	4
31	3
31	4
30	4
29	4
29	3
29	2
28	2
28	3
28	4
28	3
28	2
28	3
28	4
28	5
28	4
29	4
30	4
31	4
31	3
30	3
29	3
29	2
29	1
28	1
27	1
27	2
27	1
28	1
29	1
29	2
28	2
28	3
29	3
29	2
30	2
30	1
30	2
31	2
31	3
30	3
30	4
31	4
30	4
29	4
28	4
28	3
28	2
29	2
28	2
28	3
27	3
27	4
27	5
27	4
26	4
26	5
26	6
26	5
27	5
27	6
28	6
27	6
27	7
27	8
27	9
26	9
26	10
26	11
26	12
27	12
26	12
27	12
28	12
27	12
26	12
26	11
25	11
25	10
26	10
27	10
27	11
27	10
26	10
27	10
27	11
27	10
28	10
28	9
27	9
28	9
27	9
27	10
26	10
26	9
25	9
25	8
25	9
25	10
26	10
26	11
27	11
27	12
27	11
26	11
26	12
25	12
25	11
25	10
24	10
24	9
24	8
24	9
24	8
24	7
23	7
23	8
22	8
22	7
22	6
22	7
22	6
21	6
21	7
22	7
22	8
21	8
21	7
22	7
21	7
22	7
22	6
22	7
22	8
22	9
22	8
21	8
21	9
20	9
21	9
21	10
20	10
20	11
19	11
18	11
17	11
17	12
18	12
18	13
17	13
17	14
18	14
19	14
18	14
18	15
19	15
19	16
19	17
19	18
19	17
18	17
17	17
17	18
16	18
16	17
16	16
15	16
16	16
15	16
15	15
15	16
15	15
15	14
16	14
15	14
15	13
15	12
15	11
16	11
17	11
18	11
18	12
17	12
17	13
17	14
18	14
18	13
18	14
18	15
18	16
18	15
19	15
19	14
19	13
20	13
20	12
21	12
20	12
20	11
20	12
19	12
18	12
19	12
18	12
18	13
17	13
17	12
18	12
18	11
18	10
18	11
19	11
20	11
21	11
20	11
20	10
20	9
19	9
20	9
21	9
20	9
21	9
22	9
22	8
23	8
23	7
23	6
23	5
23	4
23	5
23	6
24	6
24	5
23	5
24	5
24	4
24	5
23	5
23	6
23	5
23	4
24	4
24	3
24	4
24	5
24	6
24	7
25	7
26	7
26	6
26	7
27	7
27	8
27	7
27	6
27	7
27	6
27	5
27	4
27	3
27	4
27	3
27	4
26	4
27	4
26	4
26	3
26	2
26	1
26	0
27	0
28	0
28	1
27	1
27	2
27	3
28	3
27	3
27	4
28	4
29	4
29	5
30	5
30	4
30	3
29	3
30	3
31	3
30	3
29	3
29	2
28	2
28	3
28	2
27	2
28	2
29	2
30	2
30	3
30	2
31	2
31	3
31	4
32	4
31	4
30	4
31	4
31	3
31	2
30	2
29	2
29	1
29	0
29	1
28	1
29	1
29	0
29	-1
29	-2
28	-2
28	-3
29	-3
29	-2
30	-2
31	-2
31	-1
30	-1
31	-1
30	-1
30	0
30	-1
30	-2
29	-2
29	-1
29	-2
28	-2
27	-2
26	-2
26	-1
25	-1
24	-1
23	-1
22	-1
21	-1
21	-2
21	-1
21	-2
22	-2
23	-2
23	-3
22	-3
22	-2
22	-3
23	-3
23	-2
22	-2
21	-2
21	-1
22	-1
22	-2
23	-2
22	-2
22	-1
22	-2
21	-2
21	-1
21	-2
21	-3
21	-2
21	-1
22	-1
22	-2
21	-2
21	-3
22	-3
21	-3
21	-2
21	-3
21	-2
21	-1
20	-1
21	-1
21	0
20	0
20	1
20	2
20	3
21	3
21	2
22	2
23	2
24	2
24	3
24	2
24	1
25	1
25	0
24	0
24	-1
24	-2
24	-1
25	-1
26	-1
27	-1
26	-1
27	-1
27	0
27	-1
27	-2
26	-2
25	-2
24	-2
25	-2
24	-2
24	-3
24	-4
23	-4
22	-4
21	-4
20	-4
19	-4
19	-5
20	-5
20	-4
21	-4
20	-4
21	-4
21	-3
21	-2
21	-3
20	-3
